PLAYER,TEAM,AGE,GP,W,L,MP,MIN,PTS,T.PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,T.REB,AST,T.AST,TOV,T.TOV,STL,T.STL,BLK,T.BLK,PF,T.PF,FP,DD2,TD3,+/-,Play2019,Play2020
Norvel Pelle,BKN,28,3,1,2,9.333333333,28,2,6,3,7,42.9,0,0,0,0,0,0,3,4,2.333333333,7,0,0,1,3,0,0,1,3,3,9,20.4,0,0,-8,0,0
DaQuan Jeffries,SAC,23,3,0,3,13.66666667,41,2,6,3,12,25,0,6,0,0,0,0,2,4,2,6,0.666666667,2,0.666666667,2,1,3,0.666666667,2,1,3,29.2,0,0,18,0,0
Keita Bates-Diop,SAS,25,8,4,4,3.375,27,0.625,5,0,9,0,0,4,0,5,6,83.3,1,2,0.375,3,0.25,2,0,0,0.125,1,0,0,0,0,14.6,0,0,-41,0,0
Jalen Lecque,IND,20,3,2,1,3,9,1.666666667,5,1,4,25,0,1,0,3,3,100,1,3,1.333333333,4,0.666666667,2,0,0,0,0,0,0,0,0,12.8,0,0,-3,0,0
Jahmi'us Ramsey,SAC,19,4,0,4,4,16,1.25,5,2,4,50,1,3,33.3,0,0,0,0,4,1,4,0.25,1,0.25,1,0,0,0.25,1,0,0,13.3,0,0,9,0,0
Vincent Poirier,PHI,27,4,2,2,4.5,18,1,4,1,3,33.3,0,0,0,2,4,50,2,2,1,4,0.25,1,0.25,1,0,0,0.5,2,0.25,1,15.3,0,0,-6,0,0
Tim Frazier,MEM,30,3,3,0,11,33,1.333333333,4,2,8,25,0,2,0,0,0,0,0,4,1.333333333,4,2.333333333,7,1,3,0.333333333,1,0,0,1.333333333,4,19.3,0,0,6,0,0
Ray Spalding,HOU,23,2,0,2,9.5,19,2,4,2,4,50,0,1,0,0,2,0,2,2,2,4,0,0,1.5,3,0,0,1,2,1.5,3,11.8,0,0,-7,0,0
Quinndary Weatherspoon,SAS,24,5,2,3,4.8,24,0.8,4,1,5,20,0,1,0,2,2,100,0,2,0.4,2,0.6,3,1.2,6,0.2,1,0,0,1.4,7,7.9,0,0,-37,0,0
Devon Dotson,CHI,21,1,0,1,10,10,4,4,2,4,50,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,5.2,0,0,-2,0,0
Vernon Carey Jr.,CHA,19,3,2,1,2,6,1,3,1,3,33.3,0,1,0,1,2,50,2,1,1,3,0.333333333,1,0,0,0,0,0.333333333,1,0,0,11.1,0,0,4,0,0
Jared Dudley,LAL,35,6,5,1,3.666666667,22,0.5,3,1,1,100,1,1,100,0,0,0,1,5,1,6,0.166666667,1,0,0,0,0,0,0,0,0,11.7,0,0,14,0,0
Brian Bowen II,IND,22,1,0,1,5,5,3,3,1,2,50,0,0,0,1,1,100,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4.2,0,0,-7,0,0
Trent Forrest,UTA,22,3,2,1,3.333333333,10,0.666666667,2,0,1,0,0,1,0,2,2,100,0,0,0,0,0.333333333,1,0,0,0.666666667,2,0,0,0.666666667,2,9.5,0,0,-12,0,0
Theo Pinson,NYK,25,9,4,5,2.333333333,21,0.222222222,2,1,7,14.3,0,6,0,0,0,0,0,1,0.111111111,1,0,0,0,0,0,0,0,0,0.333333333,3,3.2,0,0,-13,0,0
Keljin Blevins,POR,25,8,4,4,4.75,38,0.25,2,1,9,11.1,0,3,0,0,0,0,0,0,0,0,0.5,4,0.375,3,0.25,2,0,0,0.5,4,11,0,0,-10,0,0
